reuse_factor_n,reuse_ratio_d_over_r,reuse_distance_km_if_design_radius,channels_per_site,channels_per_sector,sector_capacity_erlang,site_capacity_erlang,capacity_area_km2,capacity_radius_km,coverage_radius_km,design_radius_km,design_area_km2,sectorized_sir_db,omnidirectional_sir_db,sir_margin_db,limiting_factor,sites_for_target_area,recommended
3,3.0,0.4927756989387012,33,11,5.84153113954552,17.52459341863656,0.07009837367454624,0.1642585663129004,0.5527934116889407,0.1642585663129004,0.07009837367454623,13.688943958548375,8.917731411351749,-1.311056041451625,capacity,15,False
4,3.4641016151377544,0.44836541181984585,25,8,3.6270504746074277,10.881151423822283,0.04352460569528913,0.1294319456047527,0.5527934116889407,0.1294319456047527,0.04352460569528913,15.875371849193623,11.104159301996997,0.8753718491936233,capacity,23,True
7,4.58257569495584,0.3254898434419243,14,4,1.0922605004352355,3.2767815013057064,0.013107126005222826,0.07102770692914018,0.5527934116889407,0.07102770692914018,0.013107126005222824,20.128537701203776,15.357325154007151,5.128537701203776,capacity,77,False
