split_stage,radius_km,area_km2,cells_per_original_footprint,capacity_density_erlang_km2,supported_users_km2,demand_users_km2,meets_demand,sites_for_target_area,recommended
0,3.4118505659072476,30.243488845395277,1,2.9087908258728707,34.90548991047445,8000.0,False,1,False
1,1.7059252829536238,7.560872211348819,4,11.635163303491483,139.6219596418978,8000.0,False,1,False
2,0.8529626414768119,1.8902180528372048,16,46.54065321396593,558.4878385675912,8000.0,False,1,False
3,0.42648132073840594,0.4725545132093012,64,186.16261285586373,2233.951354270365,8000.0,False,3,False
4,0.21324066036920297,0.1181386283023253,256,744.6504514234549,8935.80541708146,8000.0,True,9,True
5,0.10662033018460149,0.029534657075581325,1024,2978.6018056938196,35743.22166832584,8000.0,True,34,False
6,0.05331016509230074,0.007383664268895331,4096,11914.407222775279,142972.88667330335,8000.0,True,136,False
